Date Of Review,Followers,Likes,Name Of Reviewer,Restaurant Name,Restaurant id,Review,Reviewer ID,Reviewer Rating,Total Ratings given
2018-12-20 08:44:11,                          202                                                         ,0 ,            Anand Vecham          ,            Burma Burma          ,18625420,"Rated                                 Burma Burma, been trying to visit this place for a while now and finally got a chance to visit this place yesterday. The wait time was 25 mins which was the only drawback I would say, no reservations accepted post 4 pm so make sure you book your table before 4 pm. Ambiance is lovely and the staff are courteous and fast. While talking about the food loved their signature  samosa soup and the Burmese peeper soup, crispy lotus stem was average where as Thou mash with Paratha was outstanding. Ordered china town noodles and Burmese fried rice for mains and was pretty good at well. Talking about the desserts the chocolate caramel dome just blew my mind away, by far the best dessert I’ve had in a while. Overall a great experience Burma Burma.                                                 ",40671157, 4.0,                                                                    18                                 
2018-12-15 10:24:29,                          553                                                         ,1 ,            Ridiculouslyhungry          ,            Burma Burma          ,18625420,"Rated                                 I never thought that raw mango salad can taste so good. It has that subtle taste of it in each bite. Not too tangy, just perfect. The samosa soup was another surprise. The staff indulges with you in choosing your food if you are a first timer and suggests really the best. This will surely be in my to visit places for times to come.                                                 ",40592337, 5.0,                                                                    216                                 
2018-12-15 06:07:11,                          3767                                                         ,4 ,            Shivani Rawat          ,            Burma Burma          ,18625420,"Rated                                 I along with my friends went to this place for dinner on Friday night. The place was bit crowded and we had to wait for like 20 mins. The interiors were nicely done, I must say brilliant artistic work. Coming to food, we tried samosa soup and corn soup for starters both were unique and tasty at the same time, next we had lotus stem chips which were crispy and richly flavoured. In main course we had noodles, gravya nd Fried rice. I found them average in taste, nothing promising in terms of authentic Burmese flavour. This place is bit overpriced as compared to the quantity they served.Recommended:🥂 Samosa Soup🥂 Lotus stem chips                                                ",40591305, 3.0,                                                                    31                                 
2018-12-14 22:32:46,                          549                                                         ,1 ,            Ankit Choudhary          ,            Burma Burma          ,18625420,Rated                                 This is one of the popular restaurants in Indiranagar and a must go to try Burmese food. The ambience of the place was fine and the restaurant was well decorated. The service was good and the staff was really helpful and polite. I really liked the lotus stem chips and samosa soup.                                                ,40587782, 4.0,                                                                    29                                 
2018-12-14 08:30:18,                          88                                                         ,0 ,            Shreya Muddappa          ,            Burma Burma          ,18625420,"Rated                                 Visited this place a month back,firstly having very few vegetarian places, and this being one of them. Just one word,wow...such a beautiful place, though im not a pure vegetarian...but I loved the food so much that I want to come to this place again..from food to service to ambience everything was bang on. I remember myself relish KHOW SUEY so much,the flavours are still fresh in my mind,this is a must tryyy!! 😍The drink So soothing and refreshing😍 and I also liked the concept of the samosa soup. So looking forward to also try their desserts the next I come.P.S booking a table is necessary or else you will have to wait:(",40576486, 5.0,                                                                    33                                 
2018-12-11 21:24:51,                          2001                                                         ,1 ,            Karishma Dugar          ,            Burma Burma          ,18625420,"Rated                                 The craze around this place is for legitimate reasons: this is a great place. The food is spicy and pretty authentic, perfect for a vegetarian meal in the area.The samosa soup was a huge hit in our group, and the khao Suey was fabulous. The Nutella bubble tea was also a happy surprise, but not for all palettes.                                                 ",40542865, 4.0,                                                                    166                                 
2018-12-10 00:37:50,                          863                                                         ,3 ,            Raj Kiran          ,            Burma Burma          ,18625420,"Rated                 This restaurant started 9 months back and it's on my bookmarks since then. Finally I visited Burma x2 today for lunch and I just loved it!So, I'm reviewing this place based on 3 important things needed in a restaurant to get a 5 rating:1.Food - 5/52.Ambiance - 4.5/53.Service - 5/5Starting with the food,*Samosa Soup: A samosa broken down and added in a Burmese style broth which gives a tangy taste in your mouth. This is a perfect dish to start off your lunch!*Burmese Falafel: Moderately crispy from the outside and soft from within are these falafels in a an amazing and tasty gravy which comes in 8 mini pieces in a plate. This is a really tasty dish but pricy!*Lotus stem crisps: A perfect crispy munching chips made of lotus stem which is dusted with a desi masala to make it flavorsome.All the starters are also accompanied with 4 different types of sides which is filled with different flavors.*Dry Khowsuey: A narrow flat noodles with a subtle hint of coconut flavor mixed with other mild spices with crispy corn flakes. This is best taken with either a curry or some flavorsome sauces. This too is pricy but quite filling and easily serves two people.*Orange & Mango Infused Tea: This restaurant serves some amazing collection of teas which are so rich in flavor and very light. They literally have 5-6 pages of just tea in the menu with multiple varieties. However, most of them cost approximately 300/- which serves around 6 cups. It's all about the experience here of having some amazing tea which I highly recommend.*Smokey Avocado: This probably won me as I'm a huge fan of avocado's. A fine dessert which tastes exactly like avocado's mixed with a little honey. This is presented with some dry ice to make it look just fabulous. I highly recommended this dessert here.So, if you're going for 3 starters, 1 main course, 1 Signature Tea, and 1 dessert.. it's going to cost you approximately 2.5k!Then again, nothing disappointed me and the service was top notch. This restaurant have multiple options for vegan dishes and Jain friendly dishes. However, this restaurant doesn't take prior reservations. So, you have to wait approximately 30-45 minutes to get a table on a weekend.                                 ",40515600, 5.0,                                                                    139                                 
2018-12-08 11:53:30,                          367                                                         ,2 ,            Sudipto Nayak          ,            Burma Burma          ,18625420,"Rated                                 Decor, service, location all good.It's a veggie place but lots to experiment. Had a very bad experience with Samosa Soup, it's over rated soup, except literally one samosa in it taste average.Starter mein wanted to try something new so Lotus Stem Crisp which was interesting. This place will make holes in your pocket, food the place bit expensive compared to the quantity.If you want to experience something different and cuisine than you can visit this place.                                                 ",40479327, 3.0,                                                                    143                                 
2018-12-05 23:52:02,                          27                                                         ,1 ,            Sri Vatsa          ,            Burma Burma          ,18625420,"Rated                                 Awesome ambiance, awesome food, awesome staff, awesome service... Everything was so awesome about this place. First time we tried the Burmese cuisine and was quite confused on what to order. However the staff members guided me really well and suggested some great food. It's for sure on my revisit list.                                                 ",40444330, 5.0,                                                                    58                                 
2018-12-02 22:23:07,                          76                                                         ,0 ,            Nikita          ,            Burma Burma          ,18625420,"Rated                                 What a beautiful find! So glad we chose this place. Went there for lunch, we had the samosa soup, lotus stem chips and khao suey. Beautiful food, loved the taste. This is the first time I tried Burmese and absolutely loved the experience. The staff is very courteous, always have a smile on their face. Such a joy to visit! The drinks were great too, will definitely recommend this place over and over again. It is a little expensive but worth the money, will suggest you make a reservation before visiting. We waited for an hour :)                                                ",40397502, 5.0,                                                                    30                                 
